hashtag,count,party
AAPIHeritageMonth,129,L
BloodySunday,129,L
BidenBudget,129,L
VenturaCounty,129,L
PresidentsDay,128,L
Vaisakhi,128,L
GVSurvivorsWeek,127,L
EnvironmentalJustice,127,L
Census,127,L
NationalNursesWeek,126,L
BuildingABetterAmerica,126,L
CivilRightsAct,126,L
UnionStrong,126,L
SaveTheUSPS,126,L
SandyHook,126,L
GA05,126,L
Veterans,125,L
SaveTheNet,125,L
vote,124,L
COVID19,123,L
TrumpCuts,122,L
CA40,122,L
2020census,121,L
LCVScorecard,120,L
InaugurationDay,120,L
InfrastructureIsCalling,120,L
DDay,119,L
ShopSmall,119,L
SaveUSPS,119,L
MarchOnWashington,119,L
MerryChristmas,119,L
ProtectingOurKidsAct,119,L
MD05,119,L
HumanRightsDay,118,L
NationalParkWeek,117,L
WorldMentalHealthDay,117,L
FreedomToVote,117,L
JusticeinPolicing,116,L
EndHungerNow,116,L
MakeItInAmerica,116,L
OnlyInDistrict1,116,L
NationalInternDay,115,L
MOREAct,115,L
TisAPrivilege,115,L
117thCongress,114,L
Maryland,114,L
RemoveHate,114,L
MO05,114,L
COREAct,113,L
RestaurantRevitalizationFund,113,L
FL07,113,L
NC06,112,L
VA02,112,L
SuicidePreventionMonth,111,L
Medicaid,111,L
Covid19,111,L
CA36,111,L
PublicLands,110,L
GOPshutdown,110,L
FightingFifth,110,L
DidYouKnow,109,L
HotFERCSummer,109,L
ma09,109,L
PostalServiceReformAct,108,L
immigration,108,L
CareCantWait,107,L
Pulse,107,L
FakeEmergency,107,L
IowanOfTheWeek,107,L
ProtectTheArctic,106,L
netneutrality,106,L
HandsOffSNAP,106,L
RestoreTheVRA,105,L
impeachment,105,L
COVID_19,105,L
HappyThanksgiving,105,L
September11,105,L
TransDayOfRemembrance,103,L
DirtyWaterRule,103,L
IRS,103,L
MarshallFire,102,L
DisarmHate,102,L
WomensHealthProtectionAct,102,L
DemDebate,102,L
bipartisan,102,L
CesarChavezDay,101,L
InfrastructureBill,101,L
CharlestonLoophole,101,L
GA07,101,L
CA35,101,L
SaveOurStages,100,L
HongKong,100,L
Vote,100,L
TeamSoto,100,L
WeAreHome,98,L
NAFTA,98,L
AffordableInsulinNow,98,L
SHIELDAct,98,L
HurricaneIda,98,L
PAMapSpotlight,98,L
WorldCancerDay,96,L
FollowTheFacts,96,L
SaferCommunities,96,L
Renew911VCF,95,L
GA13,95,L
SB8,94,L
DefendWomensRights,94,L
CongressionalArtCompetition,94,L
ConstitutionDay,93,L
AssaultWeaponsBan,93,L
CleanWaterAct,93,L
SaveThePostOffice,93,L
BrownvBoard,93,L
Colorado,93,L
NYC,92,L
ForthePeople,91,L
DCstatehood,91,L
BeBoldEndHyde,91,L
FY21NDAA,91,L
MSDStrong,90,L
JohnLewisVotingRightsAct,90,L
PublicSchoolsWeek,90,L
HBCU,90,L
OH11,90,L
CitizensUnited,89,L
CleanAirAct,89,L
cybersecurity,89,L
HR6,89,L
RespectforMarriageAct,88,L
APAHM,88,L
CutMethane,88,L
WorkersMemorialDay,88,L
MadeinWI,88,L
RightToContraception,88,L
RippingOffAmericans,88,L
NY03,88,L
TPS,87,L
InfrastructureWeek,87,L
Bronx,87,L
TX33,87,L
WorldTeachersDay,86,L
DoYourJob,86,L
Jacksonville,86,L
ArmedForcesDay,85,L
JewishAmericanHeritageMonth,85,L
GrahamCassidy,85,L
StopBadRobocalls,85,L
WI,85,L
MarchMadness,84,L
GlobalGagRule,84,L
MentalHealth,84,L
HHM,84,L
Obamacare,83,L
WVStrong,83,L
TBDTv,83,L
NationalPublicLandsDay,82,L
USCitizenshipAct,82,L
PPE,82,L
SayHerName,82,L
jobs,82,L
NationalNightOut,82,L
CultureOfCorruption,82,L
CMFCSummit,82,L
TeamGottheimer,82,L
CongressGoesPurple,81,L
MeToo,81,L
Venezuela,81,L
ArmenianGenocide,81,L
ValentinesDay,81,L
GlobalRespectAct,81,L
SAFEBankingAct,80,L
ENDALZ,80,L
WorldHealthDay,80,L
SaveTheACA,80,L
ReleaseTheReport,80,L
1u,80,L
BigCatPublicSafetyAct,80,L
BackToSchool,79,L
NationalDoctorsDay,79,L
Roe,79,L
HappyMothersDay,79,L
RaisetheWage,79,L
FAMILYAct,79,L
COVID19Colorado,79,L
TDOR,78,L
ReplenishRRF,78,L
DreamAndPromiseAct,78,L
Afghanistan,78,L
TampaBay,78,L
EidAlAdha,77,L
BlackWomensEqualPayDay,77,L
MI14,77,L
PurpleHeartDay,76,L
WeCanDoThis,76,L
California,76,L
Haiti,76,L
SaferInternetDay,76,L
RuralBroadbandDay,76,L
SacramentoCounty,76,L
CA05,76,L
Louisville,76,L
AbortionIsEssential,75,L
4thofJuly,75,L
FlattenTheCurve,75,L
CensusDay,75,L
PA18,75,L
LowerFoodAndFuelCostsAct,75,L
NationalLibraryWeek,74,L
ARP,74,L
RBG,74,L
OregonWay,74,L
TheMomentIsNow,74,L
FreedomRiders,74,L
FamilySeparation,74,L
Parkland,73,L
GunViolenceAwarenessDay,73,L
BlackWomensEqualPay,73,L
DYK,73,L
Appropriations,73,L
LGBT,73,L
HBCUStrong,72,L
FY20NDAA,72,L
CA,72,L
CT,72,L
PaidLeaveForAll,71,L
MMIW,71,L
TokyoOlympics,71,L
GoldStarSpousesDay,71,L
ElectrifyingAmerica,71,L
HoldTrumpAccountable,71,L
DemocratsDeliver,71,L
CT05,71,L
Stockton,71,L
publiclands,70,L
988Lifeline,70,L
BreakFreeFromPlastic,70,L
COP27,70,L
CongressionalAppChallenge,70,L
VeteransSmallBusinessWeek,70,L
GOPFarmBill,70,L
FeedOurInfants,70,L
water,70,L
PGH,70,L
AAPIHM,69,L
FourthofJuly,69,L
Baltimore,69,L
shutdown,69,L
TownHall,69,L
MentalHealthMonth,68,L
PaycheckProtectionProgram,68,L
WWII,68,L
WorkingFamilies,68,L
GoBlue,68,L
paidleave,68,L
KnowYourRights,68,L
Congress4CS,68,L
SanJoaquin,68,L
ADA,67,L
GetCounted,67,L
RemainInMexico,67,L
mhm2012,67,L
AmericanEducationWeek,66,L
ProtectRoe,66,L
ElPasoStrong,66,L
AhmaudArbery,66,L
IranDeal,66,L
ProtectTheDream,66,L
SOTU2020,66,L
ButchLewisAct,66,L
PublicCharge,66,L
GoodFriday,66,L
opioid,66,L
GOPBudget,66,L
Russia,66,L
mapoli,66,L
VietnamWarVeteransDay,65,L
WRDA2020,65,L
equalpay,65,L
WealthTax,65,L
July4th,65,L
Memphis,65,L
Philadelphia,65,L
MOW50,65,L
NoBorderWall,65,L
WalkCT,64,L
StateOfTheUnion,64,L
SuperBowl,64,L
CleanEnergy,64,L
BeCounted,64,L
StopTheSpread,64,L
Halloween,64,L
JohnLewis,64,L
HappyNewYear,64,L
HappyEaster,64,L
MaternalJustice,64,L
SpeakOut,64,L
LGBTQHistoryMonth,63,L
EqualPayAct,63,L
smallbiz,63,L
Inauguration2021,63,L
FundLWCF,63,L
SOTU2022,63,L
Syria,63,L
TakeThemToo,63,L
Impeachment,63,L
Vermont,63,L
RestoringHope,63,L
ADA30,62,L
TreeOfLife,62,L
JointSession,62,L
TransDayofVisibility,62,L
goodtrouble,62,L
EqualRightsAmendment,62,L
LowerDrugCostsNow,62,L
SubHealth,62,L
Stonewall,61,L
BreonnaTaylor,61,L
TransAwarenessWeek,61,L
Covid_19,61,L
ThxBirthControl,61,L
Everett,61,L
TX32,61,L
pandemic,61,L
TPP,60,L
RentReliefNow,60,L
ProtectOurCoast,60,L
ExpandSocialSecurity,60,L
AZ02,60,L
GivingTuesday,59,L
WorldOceansDay,59,L
ActForAbortionAccess,59,L
NationalAgDay,59,L
HumaneAwards,59,L
LoveWins,59,L
ActonClimate,59,L
EvictionMoratorium,59,L
Ida,59,L
