sctweets,105,R
PearlHarborRemembranceDay,104,R
OpportunityZones,104,R
GoodNews,104,R
OH16,104,R
MN08,104,R
EarthDay,103,R
Hanukkah,103,R
CHIP,103,R
WPS,103,R
DC,103,R
Benghazi,103,R
NationalInternDay,102,R
September11,102,R
LA03,102,R
Arctic,101,R
BREAKING,101,R
BidenEnergyFailures,101,R
SC02,101,R
EndlessFrontierAct,100,R
NE02,100,R
DidYouKnow,99,R
Nicaragua,99,R
Smallbiz,99,R
HydeAmendment,99,R
NC,99,R
TeacherAppreciationWeek,97,R
SchoolChoiceWeek,97,R
LWCF,97,R
WWII,96,R
TX13,96,R
GoldStarSpousesDay,95,R
ConfirmACB,94,R
PA,94,R
WeeklyWrapUp,94,R
19thAmendment,93,R
LetTaiwanHelp,93,R
RightToTry,93,R
AskBuddy,92,R
NC08,92,R
Covid_19,91,R
TX,91,R
CampFire,91,R
wvpol,91,R
BornAlive,90,R
agriculture,89,R
FDL,89,R
TX10,89,R
budget,88,R
Wisconsin,88,R
MO4,88,R
MO03,88,R
energy,87,R
HispanicHeritageMonth,87,R
Bidenomics,87,R
OpioidEpidemic,87,R
WRRDA,86,R
Harvey,86,R
MedicareForAll,86,R
TX03,86,R
Passover,85,R
NDag,85,R
MN07,85,R
HurricaneIda,84,R
YomKippur,84,R
neverforget,84,R
ShopSmall,84,R
ag,84,R
OK05,84,R
TeacherAppreciationDay,83,R
al01,83,R
LaunchAmerica,82,R
betteroffnow,82,R
SMDSymposium,82,R
Easter,81,R
SmallBusiness,81,R
MuellerReport,81,R
ThanksgivingTax,81,R
telehealth,80,R
ReligiousFreedomDay,80,R
Maduro,80,R
trade,79,R
cornwatch,79,R
STL,79,R
Fargo,79,R
NoScoreNoVote,79,R
WorldSuicidePreventionDay,78,R
NationalDoctorsDay,78,R
bordercrisis,78,R
BuildBackBetter,78,R
NationalFirstRespondersDay,77,R
FY22NDAA,77,R
CongressionalBaseballGame,77,R
Ag,77,R
GeauxTigers,77,R
GreatestGeneration,76,R
StPatricksDay,76,R
KY02,76,R
NeverAgain,75,R
SuperBowl,75,R
TeamKat,75,R
NordStream2,74,R
VIPAct,74,R
NationalDairyMonth,74,R
SecureTheBorder,74,R
Gitmo,74,R
NEWS,74,R
Obama,73,R
MilitaryMonday,73,R
Education,73,R
biofuels,73,R
broadband,72,R
MarchforLife,72,R
2ndAmendment,72,R
Illinois,72,R
Florence,72,R
ChineseCommunistParty,72,R
NY02,72,R
opioid,71,R
Sayfie,71,R
CongressionalArtCompetition,71,R
FlipTheSwitch,71,R
Socialist,71,R
al06,71,R
IN05,71,R
HappyHanukkah,70,R
ChinaTaskForce,70,R
TX21,70,R
EndTrafficking,69,R
BidenEnergyCrisis,69,R
SupportLocalGems,69,R
ImpeachmentSham,69,R
VietnamVeteransDay,68,R
NoBudgetNoPay,68,R
HurricaneDorian,68,R
PA13,68,R
ArmyBDay,67,R
HappyNewYear,67,R
Christmas,67,R
opioidepidemic,67,R
FarmWorkforceModernizationAct,67,R
2015SLS,67,R
HappyMothersDay,66,R
Constitution,66,R
TX26,66,R
ConstituentServiceSpotlight,66,R
AbrahamAccords,65,R
Colombia,65,R
DACA,65,R
BornAliveAct,65,R
MarkerMonday,65,R
WorldCancerDay,64,R
economy,64,R
NationalLawEnforcementAppreciationDay,64,R
FillTheSeat,64,R
LetUsVote,64,R
KY06,64,R
Brooklyn,64,R
TX24,64,R
HoosierHighlights,63,R
HurricaneHarvey,63,R
twill,63,R
Jobs,62,R
PlannedParenthood,62,R
NationalSmallBusinessWeek,62,R
VAMISSIONAct,62,R
DefundThePolice,62,R
farmers,62,R
CivicsWithScott,62,R
GoodNewsOfTheDay,62,R
tbt,61,R
FourthofJuly,61,R
AL05,61,R
WhereistheCzar,61,R
PeaceOfficersMemorialDay,60,R
ThinBlueLine,60,R
MentalHealthAwarenessMonth,60,R
RFS,60,R
NYC,60,R
DoddFrank,60,R
SMTTT,60,R
TaxCuts,60,R
PureMichigan,60,R
39CountyTour,60,R
Artemis,59,R
WRDA,59,R
smallbusiness,59,R
NationalNursesDay,59,R
HappyEaster,59,R
GOPTaxCuts,59,R
FL25,59,R
BillofRightsDay,58,R
TokyoOlympics,58,R
CuresNow,58,R
ValentinesDay,58,R
Indiana,58,R
OpeningDay,58,R
MontanaProud,58,R
UAS,58,R
OK,58,R
TN,58,R
GreatAmericanComeback,58,R
WI08,58,R
Oshkosh,58,R
IN09,58,R
HonorFlight,57,R
IowaAg,57,R
DYK,57,R
schoolchoice,57,R
FakeNews,57,R
KS04,57,R
GaetzTakes,57,R
Springfield,57,R
veteran,56,R
Olympics,56,R
SOTU2022,56,R
TCJA,56,R
Keystone,56,R
digitaldivide,56,R
WorldDownSyndromeDay,56,R
Zika,56,R
Shampeachment,56,R
MD01,56,R
PA03,56,R
FFAWeek,55,R
AmyConeyBarrett,55,R
humantrafficking,55,R
IN04,55,R
InThisTogetherOhio,55,R
gapol,55,R
GoDawgs,54,R
Section230,54,R
Kentucky,54,R
NebraskaBreakfast,54,R
bordersecurity,54,R
WhereAreTheJobs,54,R
CNY,54,R
Erie,54,R
PA09,54,R
cybersecurity,53,R
SemperParatus,53,R
Halloween,53,R
AgDay,53,R
LoveNE,53,R
MoreCures,53,R
FY17NDAA,53,R
thirddistrictthursday,53,R
Title42,52,R
NE,52,R
BidenPriceHike,52,R
CapitoConnect,52,R
LastSOTU,52,R
GLRI,52,R
FL6,52,R
NationalAgricultureDay,51,R
ABLE,51,R
Mueller,51,R
DefendFreedom,51,R
MN06,51,R
Assad,51,R
NationalAgWeek,50,R
TX36,50,R
OH08,50,R
Sheboygan,50,R
TeamYoung,50,R
MO2,50,R
GivingTuesday,49,R
NationalAdoptionMonth,49,R
BorderSecurity,49,R
E15,49,R
HASC,49,R
SC02BusTour,49,R
va01,49,R
PatriaYVida,48,R
BeijingBehavingBadly,48,R
crypto,48,R
Ida,48,R
border,48,R
OperationChokePoint,48,R
ReleaseTheMemo,48,R
CHOICEAct,48,R
EndMMIW,48,R
WorldHealthDay,47,R
HumanTraffickingAwarenessDay,47,R
NationalPurpleHeartDay,47,R
4thofJuly,47,R
LouisianaStrong,47,R
ElectionIntegrityCaucus,47,R
Congress4CS,47,R
AZ04,47,R
YorbaLinda,47,R
SpaceSaturday,47,R
AAPI,46,R
Remembering41,46,R
DownSyndromeAwarenessMonth,46,R
NationalSchoolChoiceWeek,46,R
SmallBusinesses,46,R
realhistorychannel,46,R
DDay75,46,R
COVID19NC,46,R
FindYourPark,45,R
HurricaneIrma,45,R
TaxAndSpendSpree,45,R
FirstStepAct,45,R
Medicare,45,R
PPE,45,R
BidenBan,45,R
TaxReformWorks,45,R
FewerCures,45,R
AmericaWorksTogether,45,R
FOSTA,45,R
Taliban,45,R
VAWA,44,R
HappyFathersDay,44,R
VEDay,44,R
116thCongress,44,R
SecondAmendment,44,R
NAFTA,44,R
WomensVote100,44,R
AmericaLast,44,R
BidenGasHike,44,R
gopHEAT,44,R
BidensAmerica,44,R
FL,44,R
MMIW,43,R
NATO,43,R
SuicidePreventionMonth,43,R
HurricaneMichael,43,R
FY23NDAA,43,R
ARinDC,43,R
ManufacturingDay,43,R
backtheblue,43,R
manufacturing,43,R
NationalRuralHealthDay,43,R
TuneIn,43,R
NationalPrayerBreakfast,43,R
Minot,43,R
SpaceForce,43,R
FY16NDAA,43,R
NotOneMorePenny,43,R
GA01,43,R
NaturalResource,43,R
SuicidePrevention,42,R
Huntsville,42,R
CharterSchoolsWeek,42,R
FAA,42,R
TPA,42,R
NationalNursesWeek,42,R
BBB,42,R
gop,42,R
curtislovestownhalls,42,R
IL,42,R
PennState,42,R
FoxBusiness,41,R
CountdownToMars,41,R
NetNeutrality,41,R
Orlando,41,R
FL27,41,R
WATCH,41,R
ALS,40,R
shutdown,40,R
ChiefsKingdom,40,R
FreePastorBrunson,40,R
ImpeachMayorkas,40,R
ImpeachmentHearings,40,R
DoctorsNote,40,R
Manitowoc,40,R
Fullerton,40,R
OK2,40,R
ACA,39,R
CFPB,39,R
PTSD,39,R
PTSDAwarenessMonth,39,R
StateOfTheUnion,39,R
PPPloans,39,R
GoArmy,39,R
Delta,39,R
SupremeCourt,39,R
MississippiMonday,39,R
Irma,39,R
PresidentBiden,39,R
HouseDemocrats,39,R
J6,39,R
firstresponderfriday,39,R
July4th,38,R
NationalVietnamWarVeteransDay,38,R
ThankAFarmer,38,R
WorldMentalHealthDay,38,R
MilitaryFamilyMonth,38,R
Inflation,38,R
MedalOfHonorDay,38,R
Festivus,38,R
GoPokes,38,R
GoPackGo,38,R
RSCBudget,38,R
2016SLS,38,R
YomHaShoah,37,R
Inauguration,37,R
HappyBirthdayMarines,37,R
MadeInAmerica,37,R
BidenBudget,37,R
AshWednesday,37,R
Covid19,37,R
Crapo4YearHighlight,37,R
StandWithHongKong,37,R
ksleg,37,R
FarmBill18,37,R
WhoDat,37,R
RepealAndReplace,37,R
shampeachment,37,R
Mi01,37,R
Cuban,37,R
MorningswithMike,37,R
PACTAct,36,R
ElectionDay,36,R
NASA,36,R
Relief4MainStreet,36,R
America,36,R
NationalFFAWeek,36,R
FBI,36,R
coal,36,R
PopeInDC,36,R
MedalofHonor,36,R
FISA,36,R
HurricaneMatthew,36,R
hcr,36,R
OnWisconsin,36,R
WyoHistory,36,R
StopTheSchiffShow,36,R
TurkeyTax,36,R
SubHealth,36,R
WA03,36,R
sassywithmassie,36,R
sc02BusTour,36,R
Guard385,35,R
MLK,35,R
Marines,35,R
Ebola,35,R
ACB,35,R
TwitterFiles,35,R
GoldStarMothersDay,35,R
SocialSecurity,35,R
InThisTogether,35,R
JointSession,35,R
floodprotection,35,R
Dorian,35,R
FreeBritney,35,R
BidenCrimeCrisis,35,R
crowdfunding,35,R
Placentia,35,R
TX11,35,R
WalorskiOfficeHours,35,R
ArmyBday,34,R
SaveOurSeas,34,R
Apollo11,34,R
EndAlz,34,R
Montgomery,34,R
Taxreform,34,R
ColumbusDay,34,R
smallbusinesses,34,R
soybeanwatch,34,R
NationalDogDay,34,R
MemorialDayWeekend,34,R
KCMO,34,R
obamacare,34,R
VAaccountability,34,R
NDenergy,34,R
BidenInflation,34,R
UN,34,R
GroundedWithJimBanks,34,R
DefundVaxMandates,34,R
IL12,34,R
Hawkeyes,34,R
StateCollege,34,R
YourVoiceAR,34,R
AirForce,33,R
HappyBirthday,33,R
REINSAct,33,R
MedalofHonorDay,33,R
jobsreport,33,R
HonorThem,33,R
HurricaneLaura,33,R
BalancedBudget,33,R
A1P,33,R
BidenBailout,33,R
InternationalFirefightersDay,33,R
ImpeachmentHoax,33,R
DeedsNotWords,33,R
ChinoHills,33,R
CentreCounty,33,R
NationalAdoptionDay,32,R
HumanTrafficking,32,R
POWMIA,32,R
Auburn,32,R
MemorialDay2021,32,R
TitleIX,32,R
CARESact,32,R
shopsmall,32,R
COVID2019,32,R
dataprivacy,32,R
LNG,32,R
DOJ,32,R
ND,32,R
House,32,R
GeorgeFloyd,32,R
fintech,32,R
SchiffShow,32,R
NationalFreedomDay,32,R
StatesReformAct,32,R
fltcot,32,R
Infrastructure,31,R
VAMissionAct,31,R
DDay75thAnniversary,31,R
MakeEmSqueal,31,R
GWOTMemorial,31,R
5G,31,R
IRSscandal,31,R
ScaliseStrong,31,R
RuralHealthDay,31,R
MO,31,R
GrandForks,31,R
FFA,31,R
JosephProjectWI,31,R
DoNothingDemocrats,31,R
SNAP,31,R
TCOT,31,R
OH,31,R
YearInReview,31,R
Line3,31,R
WeberWeekly,31,R
AR04,31,R
Charlottesville,30,R
VAAccountability,30,R
Diwali,30,R
DrainTheSwamp,30,R
USICA,30,R
SaveOurStages,30,R
tax,30,R
bidenflation,30,R
farmbill,30,R
IranProtests,30,R
JOBSAct,30,R
EnergyIndependence,30,R
NV2,30,R
2019SLS,30,R
Cures2015,30,R
SoFla,30,R
FL19,30,R
LakeFire,30,R
ConcealedCarry,30,R
cannabis,30,R
SendTheWaterSouth,30,R
PA05,30,R
Delphi,30,R
NativeAmericanHeritageMonth,29,R
covid19,29,R
RollTide,29,R
FinalFour,29,R
VeteransHistoryProject,29,R
PalmSunday,29,R
GreatAmericanOutdoorsAct,29,R
CubaLibre,29,R
WreathsAcrossAmerica,29,R
nuclear,29,R
NationalApprenticeshipWeek,29,R
Bidinflation,29,R
FairnessForAll,29,R
HR8,29,R
HR3,29,R
MaxPressure,29,R
FreeTrevorReed,29,R
117thCongress,29,R
BuildtheWall,29,R
ReopenSchools,29,R
HereForHoosiers,29,R
Ortega,29,R
SubEnergy,29,R
RegulationRewind,29,R
PA15,29,R
ConfrontingAKCrimeWave,28,R
education,28,R
omnibus,28,R
EmpowerWomenPromoteLife,28,R
ElectionIntegrity,28,R
NationalManufacturingDay,28,R
NationalRiceMonth,28,R
USMNT,28,R
DefundPP,28,R
AlmostHeaven,28,R
LetsWork,28,R
Homeland,28,R
impeachmentDebate,28,R
FakeNewsMedia,28,R
KBJ,28,R
Trump,28,R
RENACER,28,R
TN07,28,R
LA04,28,R
LaHabra,28,R
OH05,28,R
September11th,27,R
Army,27,R
PTSDAwarenessDay,27,R
InfrastructureWeek,27,R
NationalMedalofHonorDay,27,R
NationalNightOut,27,R
GoldStar,27,R
Haiti,27,R
VeteransDay2021,27,R
Georgia,27,R
SouthCarolina,27,R
MentalHealthMonth,27,R
NationalMilkDay,27,R
ArmyStrong,27,R
AIPAC2020,27,R
TaxCutAndJobsAct,27,R
FlattenTheCurve,27,R
NEBreakfast,27,R
Iraq,27,R
WorldAlzheimersDay,27,R
IStandWithIsrael,27,R
FourthDistrictFriday,27,R
SOSNicaragua,27,R
WhiteboardWednesday,27,R
SubEnergyPower,27,R
LittleRock,27,R
ZeroDischarges,27,R
WV02,27,R
AZ,27,R
az06,27,R
KitchenTable,27,R
NationalFentanylAwarenessDay,26,R
AmericanHeartMonth,26,R
BeThere,26,R
Miami,26,R
ArborDay,26,R
FlyFightWin,26,R
92CountyTour,26,R
GroundhogDay,26,R
mentalhealth,26,R
whywemarch,26,R
Zeta,26,R
NationalEMSWeek,26,R
VJDay,26,R
BareShelvesBiden,26,R
KeepPounding,26,R
vets,26,R
Bismarck,26,R
DontDoubleMyRate,26,R
FightForSmallBiz,26,R
TrillionTreesAct,26,R
Americans,26,R
ReopenAmerica,26,R
Pelosi,26,R
SubOversight,26,R
CongressionalAppChallenge,26,R
NC05,26,R
UMITA,26,R
interntakeover,26,R
STARAct,26,R
NY27,26,R
LongsShortReport,26,R
NY11,26,R
KS01,26,R
WV2,26,R
MorningsWithMike,26,R
sc02,26,R
ARStrong,26,R
WorldTeachersDay,25,R
USPS,25,R
Apollo50th,25,R
AFBday,25,R
Mobile,25,R
Washington,25,R
Brussels,25,R
TPP,25,R
fiscalcliff,25,R
MardiGras,25,R
Veteran,25,R
MaduroRegime,25,R
GoGators,25,R
WorldSeries,25,R
NavyDay,25,R
HeIsRisen,25,R
WorldAutismAwarenessDay,25,R
CARES,25,R
SmallBizSat,25,R
LasVegas,25,R
Gorsuch,25,R
KeystonePipeline,25,R
BetterCare,25,R
ThankYou,25,R
ThankATeacher,25,R
RecoveryMonth,25,R
ABLEact,25,R
ncsen,25,R
NebraskaStrong,25,R
GoJacks,25,R
CriticalRaceTheory,25,R
MH17,25,R
PFAS,25,R
StopGovtAbuse,25,R
TeamScalise,25,R
American,25,R
CA,25,R
CurtisClimateChat,25,R
StopTheCartels,25,R
DontDraftOurDaughters,25,R
SkillsAct,25,R
AB5,25,R
ImpeachBiden,25,R
DrugFreeFriday,25,R
WestMI,25,R
Brea,25,R
31ReasonsforTaxReform,25,R
CreekFire,25,R
WNC,25,R
AL02,25,R
MidlandOverMoscow,25,R
NationalMinersDay,24,R
BreastCancerAwareness,24,R
NEPA,24,R
AlaskanoftheWeek,24,R
SanctuaryCities,24,R
ChildhoodCancerAwarenessMonth,24,R
Alzheimers,24,R
Telehealth,24,R
HolocaustMemorialDay,24,R
NeverForget911,24,R
ForeverGIBill,24,R
tech,24,R
sequester,24,R
LandonLecture,24,R
CRT,24,R
StandWithICE,24,R
CovidVaccine,24,R
WashingtonWatch,24,R
EndHumanTrafficking,24,R
fentanyl,24,R
CO04,24,R
mn07,24,R
NotForSale,24,R
NY24,24,R
PA16,24,R
GA11,24,R
NC03,24,R
ia02,24,R
WA05,24,R
OH2,24,R
Tokyo2020,23,R
robocalls,23,R
Manchester,23,R
USArmy,23,R
CFAP,23,R
TheyFeelPain,23,R
debt,23,R
DemsInDisarray,23,R
PSA,23,R
SemperFidelis,23,R
SlowTheSpread,23,R
CutWaste,23,R
Vaisakhi,23,R
RESTARTact,23,R
RESTART,23,R
Democrat,23,R
privacy,23,R
OPMhack,23,R
CensusDay,23,R
StopTheSpread,23,R
military,23,R
UNGA,23,R
TSA,23,R
txlege,23,R
BidenGasCrisis,23,R
ruralbroadband,23,R
HR36,23,R
Demflation,23,R
HR6,23,R
STEMeducation,23,R
OH12,23,R
OR02,23,R
PelosiPayoff,23,R
BidenAdministration,23,R
HometownHero,23,R
TeamCarter,23,R
SWFL,23,R
EagleScout,23,R
Neenah,23,R
Michigan,23,R
RestoreOurGOP,23,R
HappyHalloween,22,R
InternationalHolocaustRemembranceDay,22,R
MarineCorpsBirthday,22,R
sotu,22,R
SecDef,22,R
GoldStarFamilies,22,R
EasterSunday,22,R
TikTok,22,R
MilitaryFamilyAppreciationMonth,22,R
Reagan,22,R
COVID__19,22,R
CoronavirusOutbreak,22,R
Oklahoma,22,R
Energy,22,R
covid,22,R
FinishThePumps,22,R
NationalDrugTakeBackDay,22,R
USDA,22,R
SaveLWCF,22,R
NationalPuppyDay,22,R
BrokenPromises,22,R
ethanol,22,R
Bitcoin,22,R
Elsa,22,R
BearsEars,22,R
Wyo,22,R
US,22,R
TimeToBuild,22,R
TUNEIN,22,R
1A,22,R
MyWayOrTheHighway,22,R
smdsymposium,22,R
FinTech,22,R
WIWorking,22,R
wibudget,22,R
CancelDemocrats,22,R
WeeklyRundown,22,R
Portage,22,R
GoBlue,22,R
WeekInReview,22,R
ModernizeESA,22,R
caleg,22,R
UT04,22,R
mi06,22,R
DomesticViolenceAwarenessMonth,21,R
FEMA,21,R
WorldCup,21,R
CybersecurityAwarenessMonth,21,R
ForestProductsWeek,21,R
Tennessee,21,R
Jerusalem,21,R
BeAnAstronaut,21,R
ReadAcrossAmericaDay,21,R
DDay77,21,R
NationalTeacherDay,21,R
CARA,21,R
PublicSchoolsWeek,21,R
balancedbudget,21,R
CapitolHillChallenge,21,R
ABLEAct,21,R
FlorenceNC,21,R
AutismAwarenessMonth,21,R
GBR,21,R
GodBlessAmerica,21,R
OklahomaStandard,21,R
Chattanooga,21,R
TwoWithTim,21,R
MFGDay18,21,R
TennesseeTuesday,21,R
VAScandal,21,R
LetsTalk,21,R
KeepTheNine,21,R
ForThePolitics,21,R
Bush41,21,R
JoeBiden,21,R
CountEveryLegalVote,21,R
OH15,21,R
ImpeachmentHearing,21,R
VZ,21,R
SFL,21,R
WI05,21,R
APAHM,21,R
Rockford,21,R
La05,21,R
SRA,21,R
PastriesWithPalmer,21,R
CongressionalPhotoADay,21,R
ClintonCounty,21,R
WI07,21,R
WalorskiDefense,21,R
Leesburg,21,R
ArmyNavyGame,20,R
DeathTax,20,R
Sally,20,R
DDay76,20,R
Dallas,20,R
SCOTUSnominee,20,R
ReadAcrossAmerica,20,R
BillofRights,20,R
OverdoseAwarenessDay,20,R
WolvesUp,20,R
AlzheimersAwarenessMonth,20,R
Uyghur,20,R
Surfside,20,R
WHO,20,R
idpol,20,R
VEDay75,20,R
NationalDayOfTheDeployed,20,R
Hoosiers,20,R
StopSchoolViolenceAct,20,R
HailState,20,R
ReligiousFreedom,20,R
IronDome,20,R
RPMAct,20,R
Guantanamo,20,R
FixtheVA,20,R
NC09,20,R
KingvBurwell,20,R
GoBucks,20,R
DCStatehood,20,R
Inauguration2017,20,R
SaveOurStagesAct,20,R
gasprices,20,R
ParisAgreement,20,R
smallbizguardian,20,R
KXL,20,R
SKILLSAct,20,R
Nevada,20,R
PeaceThroughStrength,20,R
RonaldReagan,20,R
SLS2018,20,R
LawAndOrder,20,R
115thCongress,20,R
EnergyFreedom,20,R
FactsMatter,20,R
Resistance,20,R
NYPD,20,R
PopeFrancis,20,R
KS02,20,R
Joplin,20,R
LakeOFactCheck,20,R
HousingIsEssential,20,R
SummerInternSpotlight,20,R
Navy,19,R
HumanTraffickingAwarenessMonth,19,R
AlwaysReady,19,R
NationalChampionship,19,R
MemorialDay2020,19,R
NursesWeek,19,R
defense,19,R
FAAReauthorization,19,R
SmallBizSaturday,19,R
AL01,19,R
SemperSupra,19,R
WorldPolioDay,19,R
NationalHumanTraffickingAwarenessDay,19,R
ShotsInARms,19,R
ArmyBirthday,19,R
LLWS,19,R
Equifax,19,R
California,19,R
RESTARTamerica,19,R
Kavanaugh,19,R
pandemic,19,R
Census2020,19,R
FarmBill2018,19,R
FCSChampionship,19,R
GAOA,19,R
ISIL,19,R
Obamaquester,19,R
NDveterans,19,R
NewYear,19,R
opportunityzones,19,R
FatTuesday,19,R
TexasStrong,19,R
bitcoin,19,R
Hamas,19,R
ESA,19,R
StudentSuccessAct,19,R
ABetterWay,19,R
NurseAppreciationWeek,19,R
HEROESAct,19,R
BackToBusiness,19,R
StopCRT,19,R
heroes,19,R
ZuckerbergHearing,19,R
Solyndra,19,R
NortheastOhio,19,R
SAVEAct,19,R
BuenaPark,19,R
OK02,19,R
22WinsIn22,19,R
ErieCounty,19,R
CleanEnergyWeek,18,R
PatriotDay,18,R
KoreanWar,18,R
AimHigh,18,R
AtlasV,18,R
ConfirmKavanaugh,18,R
KatesLaw,18,R
CTEMonth,18,R
ModernizeOurLaw,18,R
AFBF100,18,R
transportation,18,R
HBCU,18,R
Soleimani,18,R
PPPloan,18,R
NoEarmarks,18,R
EnergyCrisis,18,R
AUMF,18,R
KansasConservationTour,18,R
HolocaustRemembrance,18,R
Immigration,18,R
Kudlow,18,R
SpicerAndCo,18,R
USMC,18,R
InaugurationDay,18,R
AuditTheFed,18,R
RareDiseaseDay,18,R
china,18,R
COVID19vaccine,18,R
CyberSecurity,18,R
Vets,18,R
